char.no,Category,name,states,Martin's.notes,neomorphic.transformational,larval.adult,body.region
1,Brephic Shell,Embryonic shell,0=absent; 1=present,The embryonic shell or protegulum is secreted by the embryo immediately before hatching.,neomorphic,Juvenile,Shell
2,Brephic Shell,Morphology,"1=flat, disc-like (cf. Micrina); 2=Three prominent lobes forming a Y (cf. Paterimitra); 3=spherical; 4=Fusiform","The brephic shell is the shell possessed by the young organism (see Ushatinskaya & Korovnikov 2016R and Popov et al. 2010 for discussion of terminology). Micrina resembles linguliforms (Holmer et al. 2011): in both, the brephic mitral shell has one pair of setal sacs enclosed by lateral lobes, whereas the brephic ventral shell has two lateral setal tubes. Paterimitra and Salanygolina have ""identical"" ventral brephic shells (Holmer et al 2011), resembling the shape of a ship's propeller. Haplophrentis is coded following typical hyoliths, which have a spherical brephic shell; Pedunculotheca's, in contrast, is seemingly cap-shaped.",transformational,Juvenile,Shell
3,Brephic Shell,Embryonic shell extended in larvae,"1=not extended, embryonic shell contiguous with adult shell; 2=extended into larval shell, separated from adult shell by prominent nick","Many taxa add to their embryonic shell (the protegulum possessed by the embryo upon hatching) during the larval phase of their life cycle.  The shell that exists at metamorphosis, marked by a halo or nick point, is variously termed the ""first formed shell"", ""metamorphic shell"" or ""larval shell"" (Bassett & Popov 2017).",transformational,Juvenile,Shell
4,Brephic Shell,Surface ornament,1=smooth; 2=rounded pits; 3=polygonal impressions; 4=pustulose,Pitting of the larval shell characterises acrotretids and their relatives.  Pustules occur on Paterinidae.  See Character 3 in Williams et al. (2000) tables 5-6.,transformational,Juvenile,Shell
5,Brephic Shell,Larval attachment structure,1=without evidence of pedicle; 2=with evidence of pedicle,"Embryonic shells of Micrina and certain linguliforms exhibit a transversely folded posterior extension that speaks of the original presence of a pedicle in the embryo. This is independent of the presence of an adult pedicle, which may arise after metamorphosis.",transformational,Juvenile,Shell
6,Brephic Shell,Setulose,0=no evidence of setae in embryonic shell; 1=setae present,"The protegulum of Micrina is penetrated with canals that were originally associated with setae, a character that it has in common with linguliforms (Holmer et al. 2011).",neomorphic,Juvenile,Shell
7,Brephic Shell,Setal sacs,0=absent; 1=present,"Setal sacs are recognizable as raised lumps on the juvenile shell (see Bassett and Popov 2017). Micrina and linguliforms have setal sacs on their mitral/dorsal embryonic shell, whereas these are absent in Paterimitra (Holmer et al 2011).",neomorphic,Juvenile,Shell
8,Brephic Shell,Setal sacs number,1=1 pair; 2=two pairs; 3=three pairs,Two pairs on e.g. Coolina; one on e.g. Micrina,transformational,Juvenile,Shell
9,Larval Chaetae,paired bundles,0=absent; 1=present,Annelid chaetae are equivalent to the bundled setae expressed in certain brachiopod larvae. See character 12 in @Vinther2008.,neomorphic,Juvenile,Sensory
10,Adult Setae,Adult setae,0=absent; 1=present,@Luter2000 demonstrates that the setae of larval and adult brachiopods exhibit fundamental structural differences and are conceivably not homologous structures.  Larval setae are thus described separately. Although preservation of setae in fossil brachiop,neomorphic,Adult,Sensory
11,Adult Setae,Secretion,1=by basal microvilli; 2=epicuticular,"The majority of lophotrochozoan sclerites bear a characteristic striated texture that denotes their secretion by basal microvilli [@Butterfield1990].  The seta-like hooks of sipunculans lack this texture, suggesting that they may not be homologous with other setae.",transformational,Adult,Sensory
12,Adult Setae,Secretion: Microvillar diameter,1=uniform; decreasing towards seta margin,The diameter of secretory microvlli may vary across the diameter of a seta (@Smith2014).,transformational,Adult,Sensory
13,Adult Setae,Secretion: Microvillar canal aspect,"1=round; 2=polygonal, close-packed",@Luter2000 distinguishes between the polygonal outline of microvillar canals in adult brachiopod setae and the oval outline of larval setae.,transformational,Adult,Sensory
14,Adult Setae,Composition,1=Chitin; 2=Horny protein,"The majority of lophotrochozoan sclerites are chitinous, occasionally hosting secondary biominerals.",transformational,Adult,Sensory
15,Adult Setae,Enamel,"0=absent, 1=present","Certain setae are encapsulated in a 20 nm wide electron dense layer, termed ""enamel"" by @Gustus1973.  Enamel may be absent in larval setae [@Luter2003]; this character refers to the condition in adult setae.",neomorphic,Adult,Sensory
16,Adult Setae,Distribution,"1=uniform; 2=only present at margins of shell;  3=in bundles, repeated on each metamere if serial repetition present; 4=in digestive tract","Setae penetrate the valves of many brachiopods.  In certain taxa, they are apparent only at the margins of the valves, in association with the commissure, being reduced or lost over the surface of the shell.",transformational,Adult,Sensory
17,Adult Setae,Constitution,"1=solid, blade-like; 2=basal invagination","Sipunculan ""setae"" are basally invaginated, suggesting that they may not be homologous with annelid chaetae.",transformational,Adult,Sensory
18,Adult Setae,Projecting knobs,0=absent; 1=Individual peripheral projections present,Terebratulids and discinids instead exhibit knob-like individual spines These are distinct from the rings of spines that fringe lingulid setae.,neomorphic,Adult,Sensory
19,Adult Setae,Circling coronae,0=absent; 1=present,"Lingulid setae bear crown-like rings of fine spines delimiting vertical sections, recalling the nodes of Equisetum stems. These arise by the addition of an additional circlet of microvilli [see @Luter2000, fig. 1e].",neomorphic,Adult,Sensory
20,Body organization,Serial repetition,0=absent; 1=present,"Serial repetition in adult, whether expressed in valves, soft tissues or exoskeletal elements.  See character 13 in @Rouse1999; 19 in @Vinther2008; 38 in @Haszprunar1996; 40--41 in @Sutton2012; @Wanninger2009",neomorphic,Adult,Body.organization
21,Body organization,Foot,0=absent; 1=present,"See characters 8 in @Haszprunar1996; 4 in @Vinther2008; 137 in @Rouse1999; 21 in @BucklandNicks2008; 37 in @Sutton2012; 1, 3 and 4 in @Haszprunar2008. It is assumed that the adult foot is homologous with (and thus contingent on) the larval foot.",neomorphic,Adult,Body.organization
22,Body organization,Coelom,"0=absent, adults acoelomate; 1=present, true coelomic cavities differentiated",,neomorphic,Adult,Body.organization
