char.no,Character,states,neotrans,,body.region
1,Colour pattern., 0: absent; 1: present,neomorphic,acquired melanosomes/other colour generating cells/structures,axial
2,Macrofaunal body size with few numbers of segments. ,0: absent; 1: present,neomorphic,considered that they fused as derived state,axial
3,Shape of body. ,0: cylindrical; 1: ribbon?liked,transformational,no clear ancestral state,axial
4,Shape of segments. ,0: rectangular; 1: trapezoidal,transformational,no clear ancestral state,axial
5,Fusion of segments. ,0: absent; 1: present,neomorphic,presence considered derived,axial
6,Constancy in number of segments. ,0: unfixed; 1: fixed,neomorphic,,axial
7,Preanal segment without chaetae.,0: absent; 1: present,neomorphic,not sure whether present here means absence of chaetae?,axial
8,Longitudinal crests on dorsum. ,0: absent; 1: present,neomorphic,,axial
9,Dorsal papillae. ,0: absent; 1: present,neomorphic,related to cirri ,feeding&sensory
10,Dorsal tubercles. ,0: absent; 1: present,neomorphic,,feeding&sensory
11,Dorsal ciliary bands.,0: absent; 1: present,neomorphic,,feeding&sensory
12,Eyes. ,0: absent; 1: present,neomorphic,,feeding&sensory
13,Number of eyes. ,0: two pairs; 1: one pair,neomorphic,Martin's comment: second pair considered an additional state,feeding&sensory
14,Prostomium. ,0: not retractile; 1: retractile,neomorphic,evolved muscle to retract,feeding&sensory
15,Occipital lobe. ,0: absent; 1: present,neomorphic,differentiated as derived state,feeding&sensory
16,Dorsal row of granules on peristomium.,0: absent; 1: present,neomorphic,,feeding&sensory
17,Lateral wings on peristomium. ,0: absent; 1: present,neomorphic,,feeding&sensory
18,Antennae. ,0: absent; 1: present,neomorphic,,feeding&sensory
19,Shape of antennae. ,"0: tapering or digitiform; 1: papilliform; 2: fusiform, onion shaped, skittle shaped; 3: spherical; 4: ovoidal",transformational,Martin's comment,feeding&sensory
20,Length of median antenna. ,0: long; 1: short; 2: very short; 3: very long,transformational,Martin's comment,feeding&sensory
21,Length of lateral antenna. ,0: long; 1: short; 2: very short; 3: very long,transformational,Martin's comment,feeding&sensory
22,Articulation of antennae.,0: smooth; 1: distinctly articulated; 2: indistinctly articulated,neomorphic,Martin's comment: articulation considered a novelty,feeding&sensory
23,Palps. ,0: not articulated; 1: biarticulated,neomorphic,evolved joint,feeding&sensory
24,Size of palps. ,0: similar to prostomium; 1: reduced or absent; 2: larger than prostomium (considerably); 3: shorter than prostomium,transformational,,feeding&sensory
25,Shape of palps. ,0: digitiform or rectangular; 1: triangular,neomorphic,Martin's comment: triangularity considered derived,feeding&sensory
26,Insertion of palps. ,0: anterior to prostomium; 1: ventrally to prostomium,transformational,Martin's comment,feeding&sensory
27,Orientation of palps. ,0: straight; 1: ventrally folded,neomorphic,Martin's comment: folding considered derived,feeding&sensory
28,Degree in fusion of palps to each other. ,0: free; 1: fused basally or nearly to the middle; 2: totally or practically fused,neomorphic,Martin's comment: fusion considered derived,feeding&sensory
29,Palps fused to prostomium. ,0: absent; 1: present,neomorphic,why not,feeding&sensory
30,Terminal papillae on palps. ,0: absent; 1: present,neomorphic,,feeding&sensory
31,Nuchal organs. ,0: ciliary grooves; 1: nuchal epaulettes,transformational,"from what I understand, epaulettes are enlarged nuchal organs",feeding&sensory
32,Number of ‘tentacular’ cirri. ,0: one pair; 1: two pairs; 2: more than two pairs,neomorphic,Martin's comment: additional pairs considered derived,feeding&sensory
33,Articulation of ‘tentacular’ cirri. ,0: smooth; 1: distinctly articulated; 2: indistinctly articulated,neomorphic,Martin's comment: articulation considered derived,feeding&sensory
